Assets,number_of_files,all_files,concat
3c35998c3f4a279a008ac3ffd8481fea,23,"['mpu-engage_area.png', 'video.mp4', 'SMOKE.png', 'ref.jpg', 'mpu-clickthrough_area.png', 'cta.png', 'sparks.png', 'legal.png', 'engagement_animation.png', 'VOD-cta.png', 'end-background.jpg', 'vod-cta-rev.png', '_preview.png', 'est-cta.png', 'engagement_instruction.png', 'f1-bg.jpg', 'mpu-click_area.png', 'est-copy.png', 'landing_2.png', 'ernd_text.png', 'EST-cta.png', 'landing_1.png', 'advertised_item.png']",mpu-engage_area.png video.mp4 SMOKE.png ref.jpg mpu-clickthrough_area.png cta.png sparks.png legal.png engagement_animation.png VOD-cta.png end-background.jpg vod-cta-rev.png _preview.png est-cta.png engagement_instruction.png f1-bg.jpg mpu-click_area.png est-copy.png landing_2.png ernd_text.png EST-cta.png landing_1.png advertised_item.png
adunit-yamaha-rmax2-1000-sports-sensory-plus-video-mob,2,"['video.mp4', 'endcard.png']",video.mp4 endcard.png
3c162d32bb9bce8199f44c665b20977d,31,"['game_1.jpg', 'logo.png', 'video.mp4', '77.png', '2b.png', '3.jpg', '4.jpg', 'overlay3.png', 'background.png', '33.png', '5b.png', '7b.png', 'logo_big.png', '55.png', '6b.png', 'engagement_animation.png', 'ef2.png', '1b.png', 'landing.jpg', '44.png', '_preview.png', 'engagement_instruction.png', '5.jpg', '4b.png', '2.jpg', '1.jpg', '22.png', 'endframe.png', '66.png', '3b.png', '11.png']",game_1.jpg logo.png video.mp4 77.png 2b.png 3.jpg 4.jpg overlay3.png background.png 33.png 5b.png 7b.png logo_big.png 55.png 6b.png engagement_animation.png ef2.png 1b.png landing.jpg 44.png _preview.png engagement_instruction.png 5.jpg 4b.png 2.jpg 1.jpg 22.png endframe.png 66.png 3b.png 11.png
f95ed1b647ad098a3738f1b58142decd,15,"['landing_2.jpg', 'endframe_4.png', 'video.mp4', 'cta.png', 'gametext_2.png', 'thumbnail.png', 'engagement_animation.png', '_preview.png', 'endframe_3.png', 'engagement_instruction.png', 'endframe_2.png', 'landing_1.png', 'advertised_item.png', 'gametext_1.png', 'endframe_1.jpg']",landing_2.jpg endframe_4.png video.mp4 cta.png gametext_2.png thumbnail.png engagement_animation.png _preview.png endframe_3.png engagement_instruction.png endframe_2.png landing_1.png advertised_item.png gametext_1.png endframe_1.jpg
adunit-western-union-sensory-unit-swipe-up-tap-mpu,9,"['endtext.png', 'gametext.png', 'engagement_animation_1.png', 'engagement_instruction.png', 'engagement_animation_2.png', 'endframe_2.png', 'landing.png', 'endframe_1.png', 'game.png']",endtext.png gametext.png engagement_animation_1.png engagement_instruction.png engagement_animation_2.png endframe_2.png landing.png endframe_1.png game.png
d60dcbc971efa0b4c3cb76c245c35ced,30,"['logo.png', 'fs-click-endframe.png', 'f5-bg.png', 'f4-feature-graphic.png', 'swipe-right-graphic.png', 'f2-graphic.jpg', 'fs-engage.png', 'cta.png', 'f3-graphic.png', 'f2-cta.jpg', 'F5-CTA-REV.png', 'f5-cta.jpg', 'f2-copy.png', 'logo_yamaha_rev copy.png', 'f3-features-graphic.png', 'f5-logo.png', '_preview.png', 'cta-rev-2.png', 'f4-graphic.png', 'fs-click.png', 'f2-feature-graphic.png', 'mpu-engage.png', 'engagement_instruction.png', 'f5-cta-rev-2.png', 'fs-clickthrough_rev.png', 'f5-cta-copy.png', 'f2-bg.jpg', 'f5-copy.png', 'landing.png', 'fs-clickthrough.png']",logo.png fs-click-endframe.png f5-bg.png f4-feature-graphic.png swipe-right-graphic.png f2-graphic.jpg fs-engage.png cta.png f3-graphic.png f2-cta.jpg F5-CTA-REV.png f5-cta.jpg f2-copy.png logo_yamaha_rev copy.png f3-features-graphic.png f5-logo.png _preview.png cta-rev-2.png f4-graphic.png fs-click.png f2-feature-graphic.png mpu-engage.png engagement_instruction.png f5-cta-rev-2.png fs-clickthrough_rev.png f5-cta-copy.png f2-bg.jpg f5-copy.png landing.png fs-clickthrough.png
adunit-livspace-before-after-in-tap-mpu,16,"['img3-b.png', 'divider.png', 'logo.png', 'bg.png', 'cta.png', 'choice_1.png', 'engagement_animation.png', 'mask1.png', 'img2-b.png', 'engagement_instruction.png', 'mask2.png', 'choice_3.png', 'choice_2.png', 'endframe.png', 'mask3.png', 'img1-b.png']",img3-b.png divider.png logo.png bg.png cta.png choice_1.png engagement_animation.png mask1.png img2-b.png engagement_instruction.png mask2.png choice_3.png choice_2.png endframe.png mask3.png img1-b.png
adunit-western-union-ralphs-scrub-v2-mpu,15,"['endtext.png', 'endframe_4.png', 'logo.png', 'game_2.png', 'f4-rectangle.png', 'gametext_2.png', 'engagement_animation.png', 'endframe_3.png', 'f3-bg-top.png', 'game_1.png', 'f3-bg-bottom.png', 'endframe_2.png', 'landing.png', 'gametext_1.png', 'endframe_1.png']",endtext.png endframe_4.png logo.png game_2.png f4-rectangle.png gametext_2.png engagement_animation.png endframe_3.png f3-bg-top.png game_1.png f3-bg-bottom.png endframe_2.png landing.png gametext_1.png endframe_1.png
917250eb5213e41aa11f92282ec0b19a,18,"['video.mp4', 'engageable-area.jpg', 'cta.png', 'interaction-text.png', 'end-bg.jpg', 'end-t-and-c.png', 'arrow_white_top.png', 'video-start.jpg', '_preview.png', 'video-end.jpg', 'end_text.png', 'landing_2.png', 'video-cta.png', 'endframe_2.png', 'landing_1.png', 'endframe_1.png', 'clickable-area.jpg', 'engagment_animation.png']",video.mp4 engageable-area.jpg cta.png interaction-text.png end-bg.jpg end-t-and-c.png arrow_white_top.png video-start.jpg _preview.png video-end.jpg end_text.png landing_2.png video-cta.png endframe_2.png landing_1.png endframe_1.png clickable-area.jpg engagment_animation.png
74e0cd47380d7a41f96f5ca4ba214a8f,12,"['logo.png', 'f2-graphic.jpg', 'bg-rev.png', 'overlay.png', 'landing.jpg', '_preview.png', 'cta.jpg', 'fs-click.png', 'engagement_instruction.png', 'bg-rev-2.png', 'endframe.jpg', 'f1-bg.jpg']",logo.png f2-graphic.jpg bg-rev.png overlay.png landing.jpg _preview.png cta.jpg fs-click.png engagement_instruction.png bg-rev-2.png endframe.jpg f1-bg.jpg
adunit-mouser-user-choice-v2-cpe-mob,21,"['logo.png', 'landing_3.png', 'landingtext_3.png', 'cta.png', 'arrow3-glow.png', 'landingtext_2.png', 'engagement_animation_3.png', 'arrow2-glow.png', 'endtext_1.png', 'endframe_3.png', 'engagement_animation_1.png', 'arrow1-glow.png', 'endtext_2.png', 'landing_2.png', 'landing_4.png', 'engagement_animation_2.png', 'landingtext_1.png', 'endframe_2.png', 'landing_1.png', 'endframe_1.png', 'endtext_3.png']",logo.png landing_3.png landingtext_3.png cta.png arrow3-glow.png landingtext_2.png engagement_animation_3.png arrow2-glow.png endtext_1.png endframe_3.png engagement_animation_1.png arrow1-glow.png endtext_2.png landing_2.png landing_4.png engagement_animation_2.png landingtext_1.png endframe_2.png landing_1.png endframe_1.png endtext_3.png
e0c8ecc4ba1bc299fb4e43f6faccffb9,15,"['endtext.png', 'logo.png', 'video.mp4', 'cta.png', 'end-1.jpg', 'thumbnail.png', 'engagement_animation.png', '_preview.png', 'engagement_instruction.png', 'thumbnail-new.jpg', 'advertised_item.png', 'endframe.png', 'end-allentown.png', 'fr-2-copy.png', 'end-farmingdale.png']",endtext.png logo.png video.mp4 cta.png end-1.jpg thumbnail.png engagement_animation.png _preview.png engagement_instruction.png thumbnail-new.jpg advertised_item.png endframe.png end-allentown.png fr-2-copy.png end-farmingdale.png
adunit-mouser-user-choice-v3-us-cpe-av-mob,21,"['logo.png', 'landing_3.png', 'landingtext_3.png', 'cta.png', 'arrow3-glow.png', 'landingtext_2.png', 'engagement_animation_3.png', 'arrow2-glow.png', 'endtext_1.png', 'endframe_3.png', 'engagement_animation_1.png', 'arrow1-glow.png', 'endtext_2.png', 'landing_2.png', 'landing_4.png', 'engagement_animation_2.png', 'landingtext_1.png', 'endframe_2.png', 'landing_1.png', 'endframe_1.png', 'endtext_3.png']",logo.png landing_3.png landingtext_3.png cta.png arrow3-glow.png landingtext_2.png engagement_animation_3.png arrow2-glow.png endtext_1.png endframe_3.png engagement_animation_1.png arrow1-glow.png endtext_2.png landing_2.png landing_4.png engagement_animation_2.png landingtext_1.png endframe_2.png landing_1.png endframe_1.png endtext_3.png
adunit-ihop-ihoppy-hour-no-offer-mob,12,"['fs-click-endframe.png', 'logo.jpg', 'on.png', 'cta.png', 'burger-rev.png', 'border.png', '_preview.png', 'in.png', 'advertised_item_1.png', 'endframe.jpg', 'reference-burger.jpg', 'hop.png']",fs-click-endframe.png logo.jpg on.png cta.png burger-rev.png border.png _preview.png in.png advertised_item_1.png endframe.jpg reference-burger.jpg hop.png
