Assets,located_image,base_image,top_left_X,top_left_Y,bottom_right_X,top_right_Y,height,width,total_image_height,total_image_width
adunit-samsung-r9-launch-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-chevy-user-slider-seat-interior-v1-cpe-av-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-scotch-brite-scrub-dots-sponge-tap-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
be3f931b8039ef187f1dcfa3d488c041,engagement_instruction.png,_preview.png,28,293,468,447,154,440,500,600
adunit-zee-punjabi-antakshari-in-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-chanel-j12-tw-white-en-2022-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3fb5ad02f38444843e343df0b505841d,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
6c9f892bee893be71087c8300010d9a8,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
4246216d92d4ceaf0580115dd775c2e2,engagement_instruction.png,_preview.png,60,185,526,262,77,466,900,600
e0c8ecc4ba1bc299fb4e43f6faccffb9,engagement_instruction.png,_preview.png,60,185,526,262,77,466,900,600
600c1fdc6860cf16358e00cc238a42f6,engagement_instruction.png,_preview.png,134,749,460,808,59,326,900,600
adunit-hitmans-wifes-body-guard-user-choice-v1-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-jaguar-nameplate-refresh-lca-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
995eb7a981794358eaa84a46cde6c288,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
053e01474c777e16d2ac04c884685457,engagement_animation_1.png,_preview.png,332,390,408,489,99,76,500,600
248ad697696f5e5ef82b968bfe5480ba,engagement_instruction.png,_preview.png,113,771,487,875,104,374,900,600
e08fda6d23b50ed0e9ec2fed06e21518,engagement_instruction.png,_preview.png,25,176,513,243,67,488,900,600
e1ebbff8accc9d16ea82e3b8a6636d70,engagement_instruction.png,_preview.png,0,0,600,900,900,600,900,600
adunit-ihop-window4-scary-face-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
45390f174ef85b574d3b81a0f5c1bab0,engagement_instruction.png,_preview.png,179,290,448,345,55,269,500,600
99bcf45376c5182e77af6b40ccfa2d3b,engagement_instruction.png,_preview.png,41,680,379,775,95,338,900,600
d60dcbc971efa0b4c3cb76c245c35ced,engagement_instruction.png,_preview.png,23,741,575,853,112,552,900,600
3a6d279abd87aadd09f950bcb123e358,engagement_instruction.png,_preview.png,0,163,600,283,120,600,500,600
adunit-mouser-user-choice-flight4-uk-cpe-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-cpe-av-uk-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-playstation-spring-sale-snsory-plus-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
677e3e6c41c26d12647a0deb0a58c758,engagement_animation.png,_preview.png,114,65,173,136,71,59,500,600
c2b3575ecfffe09f0f3b97a5883e6da6,engagement_instruction.png,_preview.png,60,185,526,262,77,466,900,600
4b31e9f5af8d0a4bf2c565ffa8a43800,engagement_instruction.png,_preview.png,66,615,526,747,132,460,900,600
adunit-standard-chartered-year-end-2021-bio-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-cpe-av-uk-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
